name,url,rating,num_reviews,location,categories,last_reviews_count,errors_at,address,menu_url,menu_items_scraped_flag,top_food_items
Scudiero’s Italian Bakery & Deli,/biz/scudieros-italian-bakery-and-deli-melrose-park,4.5,74,"Chicago, IL","Delis, Pizza, Sandwiches",74,-1,"2113 W Lake St, Melrose Park, IL 60160",,0,"['Classic Italian Sub', 'Roast Beef Sub', 'Primo Panini', 'Sausage Pizza By the Slice']"
CoCo Vietnamese Sandwiches & Pho,/biz/coco-vietnamese-sandwiches-and-pho-chicago-3,4.5,161,"Chicago, IL","Vietnamese, Sandwiches, Soup",161,-1,"1613 W Lawrence Ave, Chicago, IL 60640",,0,"['Spring Roll', 'Beef Stew', 'Sliced Rare Beef Pho Lunch Special', 'N&. Spicy Korean Brisket Noodle', 'Grilled Pork Banh Mi', 'Coco Special Banh Mi', 'Saigon Classic Banh Mi']"
m.henry,/biz/m-henry-chicago,4.0,1720,"Chicago, IL","Breakfast & Brunch, American (New), Cafes",1721,"[(740, 1719)]","5707 N Clark St, Chicago, IL 60660",,0,"['French Toast', 'Single Bliss Cake', 'Fried Egg Sandwich', 'Blackberry Bliss Cakes', 'Black Bean Cakes', 'Eggs Benedict', 'Latina Omeletta', 'Drunken Eggs', 'Thedulce Banana Rumba', ""Fannie's Killer Egg Sandwich""]"
Original Breakfast House,/biz/original-breakfast-house-phoenix,4.5,1795,"Phoenix, AZ","Breakfast & Brunch, Cafes",1793,-1,"13623 N 32nd St, Phoenix, AZ 85032",/menu/original-breakfast-house-phoenix/breakfast-menu,1,"['Chicken Fried Chicken', 'Banana Pecan French Toast', 'Chicken Fried Steak & Eggs', 'El Paso', 'Five Egg White Scramble', 'Pork Green Chili Omelette', 'Big Gooey Scramble Mess', 'French Toast Special', 'Popeye', 'Rib Eye Steak and Eggs']"
Schubas Tavern,/biz/schubas-tavern-chicago-3,4.0,548,"Chicago, IL","Music Venues, American (New)",548,-1,"3159 N Southport Ave, Chicago, IL 60657",,0,[]
Luci’s Healthy Marketplace,/biz/lucis-healthy-marketplace-phoenix,4.0,574,"Phoenix, AZ",Cafes,574,-1,"1590 E Bethany Home Rd, Phoenix, AZ 85014",/menu/lucis-healthy-marketplace-phoenix,1,"['Funky Monkey French Toast', 'The Naughty Nurse Melt', 'Big Boy Breakfast', 'Krabby Pants Omelette', 'Huevos Rancheros', 'Zeus Turkey Burger', 'The Kale Salad', 'Turkey Lurkey', 'Egg Sammie']"
Tratto,/biz/tratto-phoenix,4.0,225,"Phoenix, AZ","Italian, Cocktail Bars",224,-1,"4743 N 20th St, Phoenix, AZ 85016",/menu/tratto-phoenix,1,"['Thin Cut Pork Chops', 'Farinata', 'Little Gem Greens Salad', 'Two-wash Ranch Piccolo Chicken']"
Buona Terra,/biz/buona-terra-chicago-2,4.5,628,"Chicago, IL","Italian, Wine Bars",628,-1,"2535 N California Ave, Chicago, IL 60647",,0,"['Veal Ravioli', 'Butternut Squash Ravioli', 'Ravioli Con Vittelo', 'Pesto Mashed', 'Chicken Breasts', 'Gelato', 'Pasta and Rock Shrimp', 'Gnocchi Verde Al Quattro Formaggi', 'Veal Medallions', 'Rotini Di La Nona']"
Arrivederci,/biz/arrivederci-phoenix,3.5,220,"Phoenix, AZ","Italian, Wine Bars",221,-1,"4221 E Chandler Blvd, Phoenix, AZ 85048",,0,"['Lasagna', 'Chicken Cordon Bleu', 'Penne Alla Vodka']"
Pane Bianco - Central,/biz/pane-bianco-central-phoenix-3,4.0,518,"Phoenix, AZ","Sandwiches, Italian, Pizza",518,-1,"4404 N Central Ave, Phoenix, AZ 85012",/menu/pane-bianco-central-phoenix-3,1,"['Housemade Mozzarella Sandwich', 'Market Sandwich', 'Market Salad', 'Soppressata Sandwich']"
Jimmy’s Pizza Café,/biz/jimmys-pizza-caf%C3%A9-chicago-2,4.5,599,"Chicago, IL","Pizza, Cafes",599,-1,"5159 N Lincoln Ave, Chicago, IL 60625",,0,"['White Pizza', 'Ny Style Pizza', 'White Pie', 'Pepperoni Pizza', 'Pepperoni Slice', 'Sausage Pizza', 'BBQ Chicken Pizza', 'Buffalo Chicken', 'Brooklyn Special', 'White Slice']"
Trattoria D’Amico,/biz/trattoria-d-amico-phoenix-2,4.0,230,"Phoenix, AZ","Italian, Wine Bars, Desserts",230,-1,"4902 E Warner Rd, Phoenix, AZ 85044",/menu/trattoria-d-amico-phoenix-2/full-menu,1,"['Seafood Ruffino', 'Escargot', 'Marinara', 'Bruschetta', 'Stuffed Mushrooms', 'Romolo', 'Cannoli', 'Basket']"
Moira Sushi Bar & Kitchen,/biz/moira-sushi-bar-and-kitchen-phoenix,3.5,446,"Phoenix, AZ","Sushi Bars, Japanese",447,-1,"215 E McKinley St, Phoenix, AZ 85004",/menu/moira-sushi-bar-and-kitchen-phoenix,1,"['Spicy Tuna Roll', 'Shrimp Tempura', 'Crackling Calamari']"
Frida Room,/biz/frida-room-chicago,3.5,180,"Chicago, IL","Breakfast & Brunch, American (Traditional)",180,-1,"1454 W 18th St, Chicago, IL 60608",/menu/frida-room-chicago,1,"['Chilaquiles Verdes', 'Huevos Divorciados', 'Molletes', 'Skillet Meat Lovers', 'Huevos Rancheros', 'Enchiladas Verdes Con Huevos', 'Steak and Egg Sandwich', 'Steak and Eggs', 'Bistec En Salsa Verde', 'Chivito Sandwich']"
Flemings Prime Steakhouse & Wine Bar - Scottsdale,/biz/flemings-prime-steakhouse-and-wine-bar-scottsdale-scottsdale,4.0,417,"Phoenix, AZ","Steakhouses, Wine Bars, Seafood",417,-1,"6333 N Scottsdale Rd, Scottsdale, AZ 85250",,0,"['Wedge Salad', 'Caesar Salad', 'Chilled Seafood Tower', 'Crab Cakes', '11 Oz. Main Filet Mignon Steak', 'Lobster Bisque', '8 Oz. Petite Filet Mignon Steak', 'Miso Glazed Chilean Sea Bass', '20 Oz. Prime Bone-in Ribeye Steak', 'Colossal Cold Water King Crab Legs']"
Fibber Magees,/biz/fibber-magees-chandler-3,3.5,274,"Phoenix, AZ","Irish, Irish Pub",274,-1,"1989 W Elliot Rd, Chandler, AZ 85224",,0,"['Dirty Nellies', 'Irish Breakfast', 'Belfast Burger', 'Peppercorn Burger', 'Keltic Cowboys', 'Poutine']"
Conte Di Savoia,/biz/conte-di-savoia-chicago,4.5,231,"Chicago, IL","Delis, Italian",231,-1,"1438 W Taylor St, Chicago, IL 60607",,0,"['Italian Sub', 'Italian Sandwich', 'Gelato', 'Cannoli']"
Amitabul,/biz/amitabul-chicago-5,4.5,438,"Chicago, IL","Vegan, Korean, Vegetarian",437,-1,"6207 N Milwaukee Ave, Chicago, IL 60646",,0,"['Dark Side of the Moon', 'Tibetan High Noon', ""Dr. K's Cure All Noodle Soup"", ""Wolfman's Dream Treats"", 'Sweet Curry Noodles', '12 Piece Mandoo Vegan Dumpling', 'Green and Greener Nirvana', 'Yin and Yan', 'Chop Chae Bop', '9 Ways to Nirvana Noodle Soup']"
Cherryblossom Noodle Cafe,/biz/cherryblossom-noodle-cafe-phoenix,4.0,1155,"Phoenix, AZ","Sushi Bars, Noodles, Ramen",1152,-1,"914 E Camelback Rd, Phoenix, AZ 85014",/menu/cherryblossom-noodle-cafe-phoenix,1,"['Gyoza', 'Hakata', 'Cha-shu', 'California Roll', 'California Crunchy Roll', 'Spicy Tuna Roll']"
The Duce,/biz/the-duce-phoenix,3.5,840,"Phoenix, AZ","Lounges, American (New), Venues & Event Spaces",840,-1,"525 S Central Ave, Phoenix, AZ 85004",/menu/the-duce-phoenix/main-menu,1,"['Chicken Pot Pie Jar', 'Brisket Sliders', 'Meatball Sliders', 'Short Rib Sliders', 'Chicken Sausage Sliders', 'Baked Cinnamon Pecan French Toast', 'Cheeseburger Sliders']"
Portillo’s Hot Dogs,/biz/portillos-hot-dogs-scottsdale,4.0,872,"Phoenix, AZ","Hot Dogs, Salad, Burgers",870,-1,"10574 N 90th St, Scottsdale, AZ 85258",/menu/portillos-hot-dogs-scottsdale,1,"['Italian Beef Sandwich', 'Chopped Salad', 'Chili Cheese Dog', 'Beef-n-cheddar Croissant', 'Char-grilled Italian Sausage Sandwich', 'Jumbo Chili Cheese Dog', 'Cheeseburger', 'Jumbo Hot Dog']"
Poke Burrito,/biz/poke-burrito-chicago,4.5,108,"Chicago, IL","Poke, Japanese, Bubble Tea",108,-1,"4301 N Lincoln Ave, Chicago, IL 60618",,0,"['Spicy Tuna Poke Bowl', ""Jimmy's Creation Burrito"", 'California Crab Salad Burrito']"
"Scramble, a breakfast & lunch joint - Phoenix",/biz/scramble-a-breakfast-and-lunch-joint-phoenix-phoenix,4.0,932,"Phoenix, AZ","Breakfast & Brunch, Sandwiches, Coffee & Tea",933,-1,"9832 N 7th St, Phoenix, AZ 85020",,0,"['French Toast', 'Santa Fe Eggs Benedict', 'Southwest Burrito', 'Toluca Brizza', 'Vegan Breakfast', ""Meat Lover's Scramble"", 'Costa Burrito', 'Soyrizo Burrito', 'Steak and Eggs', 'Veggie Scramble']"
The Halal Guys,/biz/the-halal-guys-tempe-2,3.0,353,"Phoenix, AZ","Halal, Middle Eastern",352,-1,"1015 South Rural Rd, Tempe, AZ 85281",/menu/the-halal-guys-tempe-2,1,"['Combo Plate', 'Beef Gyro', 'Gyro Sandwich', 'Chicken Gyro']"
80 Proof,/biz/80-proof-chicago-2,4.0,139,"Chicago, IL","Bars, Salad, Venues & Event Spaces",139,-1,"1500 N Wells St, Chicago, IL 60610",/menu/80-proof-chicago-2/to-go-menu,1,"['Omelette Station', 'Shrimp Tacos', 'Sliders']"
Smack Dab,/biz/smack-dab-chicago-12,4.5,231,"Chicago, IL","Breakfast & Brunch, Pizza",231,-1,"6730 N Clark St, Chicago, IL 60626",,0,[]
Machetes Big Quesadillas,/biz/machetes-big-quesadillas-chicago-2,4.0,54,"Chicago, IL","Mexican, Vegan, Vegetarian",54,-1,"4888 S Archer Ave, Chicago, IL 60632",/menu/machetes-big-quesadillas-chicago-2,1,"['Flor De Calabaza', 'Asada', 'Nopales', 'Rajas Con Queso Machete Quesadilla', 'Chorizo', 'The Big Machete']"
RnR Gastropub,/biz/rnr-gastropub-scottsdale,3.5,950,"Phoenix, AZ","Bars, American (New), Breakfast & Brunch",951,-1,"3737 N Scottsdale Rd, Scottsdale, AZ 85251",,0,"['Pulled Pork', 'Ahi Tacos', 'Chicken Lollipops', 'Bacon Brussels Burger', 'Rnr Burger', 'Rock Shrimp Tacos']"
ATL Wings,/biz/atl-wings-glendale,4.0,235,"Phoenix, AZ",Chicken Wings,235,-1,"8024 N 51st Ave, Glendale, AZ 85302",,0,"['Spicy Atl Rub', 'Honey Habanero', 'Honey BBQ', 'Mango Habanero', 'Boneless Wings', 'Citrus Chipotle', 'Flats']"
Sakae Sushi,/biz/sakae-sushi-chicago-2,4.5,78,"Chicago, IL","Japanese, Sushi Bars",78,-1,"2920 N Clark St, Chicago, IL 60657",,0,"['Willis Tower', 'Gold Rush', 'Sears Tower', 'Omg Roll', 'Sashimi Combo', 'California Roll', 'Kamikaze Roll', 'Spicy Tonkotsu Ramen', 'Chicken Katsu', 'Seaweed Salad']"
The Little Meatball Pizzeria,/biz/the-little-meatball-pizzeria-chicago-3,4.5,79,"Chicago, IL","Pizza, Italian",79,-1,"2364 N Lincoln Ave, Chicago, IL 60614",,0,"[""Chicago's Famous Deep Dish Pizza"", 'Thin Crust Pizza', 'Greek Salad', 'Spaghetti', '2 Piece Chicken Meatballs', 'Baked Spaghetti', 'Margherita Pizza', 'Smoked BBQ Chicken Pizza', 'Special Salad', 'Spinach Salad']"
Bandera,/biz/bandera-scottsdale,4.0,762,"Phoenix, AZ",American (New),760,-1,"3821 N Scottsdale Rd, Scottsdale, AZ 85251",/menu/bandera-scottsdale,1,"['Rotisserie Chicken', 'Aged & Seasoned Prime Rib', 'Rotisserie Chicken & Carolina-style Barbecue Beef Rib Combo', 'Macho Salad', 'Deviled Eggs', 'Skillet Cornbread', 'Carolina-style Barbecue Beef Ribs', 'Dip Duo', 'Snake River Farms Tri-tip and Enchilada Platter', 'Carnitas Sandwich']"
Arcadia Farms Cafe,/biz/arcadia-farms-cafe-scottsdale-2,4.0,817,"Phoenix, AZ","Breakfast & Brunch, Cafes",817,-1,"7014 E 1st Ave, Scottsdale, AZ 85251",/menu/arcadia-farms-cafe-scottsdale-2/breakfast-menu,1,"['Strawberry Chicken Salad', 'Fresh Lump Crab Cakes', 'Fresh Berry Crepes', 'Breakfast Quesadilla', 'Baked French Toast', 'Chicken, Wild Mushroom and Leek Crepes', 'Crab & Avocado Tower', 'Warm Smoked Turkey & Brie Sandwich', 'Herb Roasted Chicken Sandwich', 'Chicken Cobb Salad']"
Tampopo Ramen,/biz/tampopo-ramen-tempe,4.0,735,"Phoenix, AZ","Ramen, Desserts, Salad",733,-1,"3223 S Mcclintock Dr, Tempe, AZ 85252",/menu/tampopo-ramen-tempe,1,"['Miso Ramen', 'Tonkotsu Ramen', 'Kakuni']"
La Bocca Urban Pizzeria + Wine Bar,/biz/la-bocca-urban-pizzeria-wine-bar-tempe,4.0,788,"Phoenix, AZ","Pizza, Wine Bars, Mediterranean",788,-1,"699 S Mill Ave, Tempe, AZ 85281",/menu/la-bocca-urban-pizzeria-wine-bar-tempe/dinner,1,"['Smoked Prosciutto', 'Bocca Trio', 'Truffle Mushroom', 'Med Plate', 'Roasted Pulled Pork', 'Roasted Chicken Pesto', 'Margherita', 'Antipasti Plate']"
Crust Brothers Pizza,/biz/crust-brothers-pizza-scottsdale,5.0,137,"Phoenix, AZ","Pizza, Italian, Salad",137,-1,"7342 E Shea Blvd, Scottsdale, AZ 85260",/menu/crust-brothers-pizza-scottsdale/main-menu,1,"['Meatball', 'Wedge', 'Meat Lovers', 'Caesar', ""Nanny's House Made Peanut Butter Buckeyes""]"
Yard House - Takeout & Delivery Available,/biz/yard-house-takeout-and-delivery-available-glendale,3.5,1107,"Phoenix, AZ","Bars, Vegetarian, American (New)",1107,-1,"9401 West Westgate Blvd, Glendale, AZ 85305",/menu/yard-house-takeout-and-delivery-available-glendale/appetizers,1,"['Chicken Lettuce Wraps', 'Spicy Tuna Roll', 'Southern Fried Chicken', 'Onion Ring Tower', 'California Roll', 'Street Tacos', 'Clam Chowder', 'French Onion Soup', 'Fish and Chips']"
Raffaele’s Pizza,/biz/raffaeles-pizza-phoenix-2,4.0,166,"Phoenix, AZ",Pizza,166,-1,"7019 N 19th Ave, Phoenix, AZ 85021",/menu/raffaeles-pizza-phoenix-2,1,"['Sicilian Pizza', 'Hot Wings', 'Sicilian Sandwich', 'Stromboli']"
